ID,Espèce,Chemin d'accès,Classe,Image_nettoyee
mark-timberlake-D2AxjLNN4ig-unsplash,Chien,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chien\mark-timberlake-D2AxjLNN4ig-unsplash.jpg,2,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chien\mark-timberlake-D2AxjLNN4ig-unsplash.jpg
stock-photo-rabbit-tracks-in-the-snow-2222260461,Lapin,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Lapin\stock-photo-rabbit-tracks-in-the-snow-2222260461.jpg,5,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Lapin\stock-photo-rabbit-tracks-in-the-snow-2222260461.jpg
9f752697e3fec48a8365a341c86e93b6,Chat,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chat\9f752697e3fec48a8365a341c86e93b6.jpg,1,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chat\9f752697e3fec48a8365a341c86e93b6.jpg
g4amh4,Chat,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chat\g4amh4.jpg,1,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chat\g4amh4.jpg
Coyote-Tracks-2,Coyote,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Coyote\Coyote-Tracks-2.jpg,3,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Coyote\Coyote-Tracks-2.jpg
timber-wolf-tracks-in-the-snow-on-kabetogama-lake-voyageurs-national-G13FR5,Loup,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Loup\timber-wolf-tracks-in-the-snow-on-kabetogama-lake-voyageurs-national-G13FR5.jpg,6,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Loup\timber-wolf-tracks-in-the-snow-on-kabetogama-lake-voyageurs-national-G13FR5.jpg
82ceec27eec6baf1a06d269caec4cc9f,Chat,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chat\82ceec27eec6baf1a06d269caec4cc9f.jpg,1,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chat\82ceec27eec6baf1a06d269caec4cc9f.jpg
stock-photo-squirrel-footprints-on-the-white-snow-2397155315,Ecureuil,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ecureuil\stock-photo-squirrel-footprints-on-the-white-snow-2397155315.jpg,4,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ecureuil\stock-photo-squirrel-footprints-on-the-white-snow-2397155315.jpg
wolf-tracks-left-on-muddy-ground-in-the-subarctic-in-manitoba-canada-the-tracks-have-been-frozen-PKNNNC,Loup,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Loup\wolf-tracks-left-on-muddy-ground-in-the-subarctic-in-manitoba-canada-the-tracks-have-been-frozen-PKNNNC.jpg,6,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Loup\wolf-tracks-left-on-muddy-ground-in-the-subarctic-in-manitoba-canada-the-tracks-have-been-frozen-PKNNNC.jpg
Kangaroo-Rat-Tracks-(2),Rat,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Rat\Kangaroo-Rat-Tracks-(2).jpg,9,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Rat\Kangaroo-Rat-Tracks-(2).jpg
f7jr2j,Raton laveur,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Raton laveur\f7jr2j.jpg,10,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Raton laveur\f7jr2j.jpg
traces-castor,Castor,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Castor\traces-castor.webp,0,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Castor\traces-castor.jpg
2rte7dr,Ours,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ours\2rte7dr.jpg,7,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ours\2rte7dr.jpg
Gray-Fox-Tracks-5,Renard,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Renard\Gray-Fox-Tracks-5.jpg,11,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Renard\Gray-Fox-Tracks-5.jpg
Beaver-Tracks-8 (1),Castor,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Castor\Beaver-Tracks-8 (1).jpg,0,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Castor\Beaver-Tracks-8 (1).jpg
tracks-rabbit-127021413,Lapin,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Lapin\tracks-rabbit-127021413.jpg,5,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Lapin\tracks-rabbit-127021413.jpg
trace-field-hare-winter-snow-trace-rabbit-trace-rabbit-1385865702,Lapin,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Lapin\trace-field-hare-winter-snow-trace-rabbit-trace-rabbit-1385865702.jpg,5,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Lapin\trace-field-hare-winter-snow-trace-rabbit-trace-rabbit-1385865702.jpg
ejjw4b,Renard,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Renard\ejjw4b.jpg,11,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Renard\ejjw4b.jpg
original (4),Ours,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ours\original (4).jpeg,7,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ours\original (4).jpg
original (4),Puma,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Puma\original (4).jpg,8,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Puma\original (4).jpg
clement-remond-d21KoR8OSaA-unsplash,Chien,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chien\clement-remond-d21KoR8OSaA-unsplash.jpg,2,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chien\clement-remond-d21KoR8OSaA-unsplash.jpg
Coyote-Tracks-(12),Coyote,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Coyote\Coyote-Tracks-(12).jpg,3,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Coyote\Coyote-Tracks-(12).jpg
fa67y1,Ours,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ours\fa67y1.jpg,7,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ours\fa67y1.jpg
aa4y40,Ecureuil,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ecureuil\aa4y40.jpg,4,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ecureuil\aa4y40.jpg
cnyy97,Castor,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Castor\cnyy97.jpg,0,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Castor\cnyy97.jpg
r6t48n,Renard,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Renard\r6t48n.jpg,11,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Renard\r6t48n.jpg
rabbit-hare-traces-white-snow-78989605,Lapin,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Lapin\rabbit-hare-traces-white-snow-78989605.jpg,5,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Lapin\rabbit-hare-traces-white-snow-78989605.jpg
2tb94fb,Ours,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ours\2tb94fb.jpg,7,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ours\2tb94fb.jpg
fresh-wolf-tracks-in-wet-sand-on-a-beach-of-the-brookes-peninsula-vancouver-island-british-columbia-W5N2CA,Loup,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Loup\fresh-wolf-tracks-in-wet-sand-on-a-beach-of-the-brookes-peninsula-vancouver-island-british-columbia-W5N2CA.jpg,6,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Loup\fresh-wolf-tracks-in-wet-sand-on-a-beach-of-the-brookes-peninsula-vancouver-island-british-columbia-W5N2CA.jpg
original (12),Puma,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Puma\original (12).jpg,8,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Puma\original (12).jpg
2bg7at5,Ours,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ours\2bg7at5.jpg,7,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ours\2bg7at5.jpg
2856017-pistes-de-chien-au-sol-photo,Chien,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chien\2856017-pistes-de-chien-au-sol-photo.jpg,2,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chien\2856017-pistes-de-chien-au-sol-photo.jpg
Dog-Tracks,Chien,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chien\Dog-Tracks.jpg,2,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chien\Dog-Tracks.jpg
2f5twf3,Renard,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Renard\2f5twf3.jpg,11,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Renard\2f5twf3.jpg
el-khalil-el-arfaoui-ZhSXK3L1F7I-unsplash,Chat,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chat\el-khalil-el-arfaoui-ZhSXK3L1F7I-unsplash.jpg,1,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chat\el-khalil-el-arfaoui-ZhSXK3L1F7I-unsplash.jpg
original (2),Puma,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Puma\original (2).jpg,8,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Puma\original (2).jpg
Raccoon-Tracks-1,Raton laveur,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Raton laveur\Raccoon-Tracks-1.jpg,10,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Raton laveur\Raccoon-Tracks-1.jpg
b7e416,Renard,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Renard\b7e416.jpg,11,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Renard\b7e416.jpg
Hispid-Cotton-Rat-Tracks-4,Rat,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Rat\Hispid-Cotton-Rat-Tracks-4.jpg,9,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Rat\Hispid-Cotton-Rat-Tracks-4.jpg
trwb8y,Ours,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ours\trwb8y.jpg,7,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ours\trwb8y.jpg
trwb8y,Coyote,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Coyote\trwb8y.jpg,3,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Coyote\trwb8y.jpg
cxrck7,Renard,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Renard\cxrck7.jpg,11,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Renard\cxrck7.jpg
hmkj4p,Raton laveur,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Raton laveur\hmkj4p.jpg,10,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Raton laveur\hmkj4p.jpg
Gray-Fox-Tracks-2,Renard,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Renard\Gray-Fox-Tracks-2.jpg,11,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Renard\Gray-Fox-Tracks-2.jpg
eurasian-red-squirrel-sciurus-vulgaris-footprints-of-four-paws-in-1905614818,Ecureuil,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ecureuil\eurasian-red-squirrel-sciurus-vulgaris-footprints-of-four-paws-in-1905614818.jpg,4,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ecureuil\eurasian-red-squirrel-sciurus-vulgaris-footprints-of-four-paws-in-1905614818.jpg
original (4),Raton laveur,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Raton laveur\original (4).jpeg,10,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Raton laveur\original (4).jpg
da27n6,Raton laveur,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Raton laveur\da27n6.jpg,10,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Raton laveur\da27n6.jpg
cnxh4j,Renard,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Renard\cnxh4j.jpg,11,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Renard\cnxh4j.jpg
2cbt6k2,Ecureuil,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ecureuil\2cbt6k2.jpg,4,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ecureuil\2cbt6k2.jpg
2aea2wd,Ecureuil,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ecureuil\2aea2wd.jpg,4,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ecureuil\2aea2wd.jpg
s0x2f6,Renard,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Renard\s0x2f6.jpg,11,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Renard\s0x2f6.jpg
original_3,Ecureuil,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ecureuil\original_3.jpeg,4,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ecureuil\original_3.jpg
original (5),Ours,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ours\original (5).jpg,7,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ours\original (5).jpg
jfcnmp,Ecureuil,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ecureuil\jfcnmp.jpg,4,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ecureuil\jfcnmp.jpg
wolf-tracks-in-the-snow-B19PW7,Loup,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Loup\wolf-tracks-in-the-snow-B19PW7.jpg,6,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Loup\wolf-tracks-in-the-snow-B19PW7.jpg
original (5),Puma,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Puma\original (5).jpeg,8,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Puma\original (5).jpg
cnxh4a,Renard,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Renard\cnxh4a.jpg,11,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Renard\cnxh4a.jpg
20824483-chien-empreinte-dans-le-boue-photo,Chien,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chien\20824483-chien-empreinte-dans-le-boue-photo.jpg,2,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chien\20824483-chien-empreinte-dans-le-boue-photo.jpg
original_15,Ecureuil,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ecureuil\original_15.jpg,4,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ecureuil\original_15.jpg
jt1h96,Ecureuil,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ecureuil\jt1h96.jpg,4,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ecureuil\jt1h96.jpg
original (2),Ours,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ours\original (2).jpeg,7,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ours\original (2).jpg
wce5xh,Renard,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Renard\wce5xh.jpg,11,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Renard\wce5xh.jpg
ge-fraC3AEche-prC3A8s-de-wiseman-alaska-le-loup-gris-ou-le-loup-gris-est-une,Loup,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Loup\ge-fraC3AEche-prC3A8s-de-wiseman-alaska-le-loup-gris-ou-le-loup-gris-est-une.jpg,6,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Loup\ge-fraC3AEche-prC3A8s-de-wiseman-alaska-le-loup-gris-ou-le-loup-gris-est-une.jpg
stock-photo-rabbit-tracks-in-the-snow-2395363465,Lapin,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Lapin\stock-photo-rabbit-tracks-in-the-snow-2395363465.jpg,5,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Lapin\stock-photo-rabbit-tracks-in-the-snow-2395363465.jpg
images,Chat,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chat\images.jpeg,1,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chat\images.jpg
9462ae6902f2fc4b2c9262bfe365ae12,Chat,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chat\9462ae6902f2fc4b2c9262bfe365ae12.jpg,1,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chat\9462ae6902f2fc4b2c9262bfe365ae12.jpg
Coyote-Tracks-(14),Coyote,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Coyote\Coyote-Tracks-(14).jpg,3,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Coyote\Coyote-Tracks-(14).jpg
coyote-tracks-dirt-on-arizona-260nw-2277377341,Coyote,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Coyote\coyote-tracks-dirt-on-arizona-260nw-2277377341.webp,3,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Coyote\coyote-tracks-dirt-on-arizona-260nw-2277377341.jpg
34f64f680a693f9a9962305ad9fc144d,Chat,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chat\34f64f680a693f9a9962305ad9fc144d.jpg,1,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chat\34f64f680a693f9a9962305ad9fc144d.jpg
k8gd14,Coyote,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Coyote\k8gd14.jpg,3,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Coyote\k8gd14.jpg
european-gray-wolf-canis-lupus-lupus-tracks-of-a-wolf-in-snow-germany-2HMN1AF,Loup,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Loup\european-gray-wolf-canis-lupus-lupus-tracks-of-a-wolf-in-snow-germany-2HMN1AF.jpg,6,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Loup\european-gray-wolf-canis-lupus-lupus-tracks-of-a-wolf-in-snow-germany-2HMN1AF.jpg
footprints-squirrel-on-snow-600w-112126985,Ecureuil,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ecureuil\footprints-squirrel-on-snow-600w-112126985.jpg,4,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ecureuil\footprints-squirrel-on-snow-600w-112126985.jpg
cat-paw-prints-on-wet-260nw-1885018834,Chat,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chat\cat-paw-prints-on-wet-260nw-1885018834.webp,1,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chat\cat-paw-prints-on-wet-260nw-1885018834.jpg
pknnnb,Ours,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ours\pknnnb.jpg,7,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ours\pknnnb.jpg
11820731-empreintes-de-chiens-se-bouchent-photo4,Chien,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chien\11820731-empreintes-de-chiens-se-bouchent-photo4.jpg,2,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chien\11820731-empreintes-de-chiens-se-bouchent-photo4.jpg
ebw734,Castor,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Castor\ebw734.jpg,0,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Castor\ebw734.jpg
d494x5,Ours,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ours\d494x5.jpg,7,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ours\d494x5.jpg
2ddb7ce19ccf5af59b2913e4408ef65a,Chien,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chien\2ddb7ce19ccf5af59b2913e4408ef65a.jpg,2,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chien\2ddb7ce19ccf5af59b2913e4408ef65a.jpg
original (2),Castor,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Castor\original (2).png,0,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Castor\original (2).jpg
wolf-canis-lupus-paw-foot-260nw-118397923,Coyote,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Coyote\wolf-canis-lupus-paw-foot-260nw-118397923.webp,3,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Coyote\wolf-canis-lupus-paw-foot-260nw-118397923.jpg
bxbfch,Ecureuil,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ecureuil\bxbfch.jpg,4,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ecureuil\bxbfch.jpg
s1hyha,Chat,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chat\s1hyha.jpg,1,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chat\s1hyha.jpg
rabbit-paw-print-fresh-snow-260nw-2254760939,Lapin,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Lapin\rabbit-paw-print-fresh-snow-260nw-2254760939.jpg,5,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Lapin\rabbit-paw-print-fresh-snow-260nw-2254760939.jpg
bgd8a0,Renard,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Renard\bgd8a0.jpg,11,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Renard\bgd8a0.jpg
Bobcat-Sit-Down-Print,Chat,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chat\Bobcat-Sit-Down-Print.jpg,1,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chat\Bobcat-Sit-Down-Print.jpg
original (8),Puma,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Puma\original (8).jpg,8,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Puma\original (8).jpg
1041a70fb630e8049300f3d555b578fb,Chien,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chien\1041a70fb630e8049300f3d555b578fb.jpg,2,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chien\1041a70fb630e8049300f3d555b578fb.jpg
pknnna,Ours,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ours\pknnna.jpg,7,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ours\pknnna.jpg
rabbit-tracks-fresh-snow-260nw-2399893293,Lapin,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Lapin\rabbit-tracks-fresh-snow-260nw-2399893293.jpg,5,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Lapin\rabbit-tracks-fresh-snow-260nw-2399893293.jpg
dh9c0t,Ours,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ours\dh9c0t.jpg,7,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ours\dh9c0t.jpg
carole-hachet-d-Uz5lt2CO0-unsplash,Chien,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chien\carole-hachet-d-Uz5lt2CO0-unsplash.jpg,2,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chien\carole-hachet-d-Uz5lt2CO0-unsplash.jpg
360_F_396336706_tqIvmSWknRACSgYSSSTWBNes5puxoy6Y,Ecureuil,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ecureuil\360_F_396336706_tqIvmSWknRACSgYSSSTWBNes5puxoy6Y.webp,4,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ecureuil\360_F_396336706_tqIvmSWknRACSgYSSSTWBNes5puxoy6Y.jpg
original (2),Chat,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chat\original (2).jpg,1,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chat\original (2).jpg
cfa3mf,Renard,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Renard\cfa3mf.jpg,11,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Renard\cfa3mf.jpg
track_all-4_800x600-1-400x400,Ours,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ours\track_all-4_800x600-1-400x400.jpg,7,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ours\track_all-4_800x600-1-400x400.jpg
squirrel-footprints-snow-600w-2406102659,Ecureuil,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ecureuil\squirrel-footprints-snow-600w-2406102659.jpg,4,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ecureuil\squirrel-footprints-snow-600w-2406102659.jpg
wolf-tracks-in-snow-GKFP2G,Loup,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Loup\wolf-tracks-in-snow-GKFP2G.jpg,6,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Loup\wolf-tracks-in-snow-GKFP2G.jpg
2bd1dxw,Ecureuil,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ecureuil\2bd1dxw.jpg,4,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ecureuil\2bd1dxw.jpg
close-up-of-gray-wolf-grey-wolf-canis-lupus-footprint-in-the-mud-showing-HGGXK9,Loup,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Loup\close-up-of-gray-wolf-grey-wolf-canis-lupus-footprint-in-the-mud-showing-HGGXK9.jpg,6,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Loup\close-up-of-gray-wolf-grey-wolf-canis-lupus-footprint-in-the-mud-showing-HGGXK9.jpg
f7jp56,Raton laveur,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Raton laveur\f7jp56.jpg,10,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Raton laveur\f7jp56.jpg
2pgatg3,Raton laveur,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Raton laveur\2pgatg3.jpg,10,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Raton laveur\2pgatg3.jpg
Cougar-Tracks,Puma,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Puma\Cougar-Tracks.jpg,8,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Puma\Cougar-Tracks.jpg
